"filename", "language", "Python", "Markdown", "comment", "blank", "total"
"/Users/mgq/Desktop/Agent Project/PuppyAgent/PuppyAgent-MGQ/README.md", "Markdown", 0, 15, 0, 15, 30
"/Users/mgq/Desktop/Agent Project/PuppyAgent/PuppyAgent-MGQ/puppyAgent/prompt/agentPrompt.py", "Python", 51, 0, 129, 14, 194
"/Users/mgq/Desktop/Agent Project/PuppyAgent/PuppyAgent-MGQ/puppyAgent/workSpace/__init__.py", "Python", 0, 0, 0, 1, 1
"/Users/mgq/Desktop/Agent Project/PuppyAgent/PuppyAgent-MGQ/puppyAgent/workSpace/test.py", "Python", 0, 0, 0, 1, 1
"/Users/mgq/Desktop/Agent Project/PuppyAgent/PuppyAgent-MGQ/puppyAgent/workSpace/whiteBoard/__init__.py", "Python", 0, 0, 1, 4, 5
"/Users/mgq/Desktop/Agent Project/PuppyAgent/PuppyAgent-MGQ/puppyAgent/workSpace/whiteBoard/notes/__init__.py", "Python", 0, 0, 0, 1, 1
"/Users/mgq/Desktop/Agent Project/PuppyAgent/PuppyAgent-MGQ/puppyAgent/workSpace/whiteBoard/notes/main.py", "Python", 34, 0, 21, 20, 75
"/Users/mgq/Desktop/Agent Project/PuppyAgent/PuppyAgent-MGQ/puppyAgent/workSpace/whiteBoard/test.py", "Python", 3, 0, 0, 1, 4
"/Users/mgq/Desktop/Agent Project/PuppyAgent/PuppyAgent-MGQ/puppyAgent/workSpace/whiteBoard/todo/__init__.py", "Python", 0, 0, 0, 1, 1
"/Users/mgq/Desktop/Agent Project/PuppyAgent/PuppyAgent-MGQ/puppyAgent/workSpace/whiteBoard/todo/main.py", "Python", 12, 0, 5, 5, 22
"/Users/mgq/Desktop/Agent Project/PuppyAgent/PuppyAgent-MGQ/puppyAgent/workSpace/whiteBoard/whiteBoardFunction/__init__.py", "Python", 0, 0, 0, 1, 1
"/Users/mgq/Desktop/Agent Project/PuppyAgent/PuppyAgent-MGQ/puppyAgent/workSpace/whiteBoard/whiteBoardFunction/multiPipeline.py", "Python", 15, 0, 1, 6, 22
"/Users/mgq/Desktop/Agent Project/PuppyAgent/PuppyAgent-MGQ/puppyAgent/workSpace/whiteBoard/workFlow/__init__.py", "Python", 0, 0, 0, 1, 1
"/Users/mgq/Desktop/Agent Project/PuppyAgent/PuppyAgent-MGQ/puppyAgent/workSpace/whiteBoard/workFlow/main.py", "Python", 103, 0, 11, 25, 139
"/Users/mgq/Desktop/Agent Project/PuppyAgent/PuppyAgent-MGQ/puppyAgent/workSpace/whiteBoard/workFlow/pipeline.py", "Python", 0, 0, 0, 1, 1
"/Users/mgq/Desktop/Agent Project/PuppyAgent/PuppyAgent-MGQ/puppyAgent/workSpace/whiteBoard/workFlow/workProperty.py", "Python", 0, 0, 0, 1, 1
"/Users/mgq/Desktop/Agent Project/PuppyAgent/PuppyAgent-MGQ/puppyAgent/workSpace/workSpace.py", "Python", 14, 0, 0, 15, 29
"Total", "-", 232, 15, 168, 113, 528
